,feature,brh_index
380,Aitana Sánchez-Gijón,11.0
381,Aja Naomi King,11.0
382,Ajay,9.0
383,Ajay Naidu,10.0
384,Ajedrez,11.0
385,Ajihad,11.0
386,Ajit Singh,11.0
387,Ajla,9.0
388,Akasha,11.0
389,Akeelah,11.0
390,Aki,11.0
391,Akihiro Miwa,11.0
392,Akiko Takeshita,11.0
393,Akiko Wakabayashi,11.0
394,Akima,9.0
395,Akira Kurosawa,9.0
396,Akiro 'The Wizard',11.0
397,Akiva Goldsman,10.0
398,Akiva Schaffer,10.0
399,Akmed Khazzan,9.0
400,Akosua Busia,11.0
401,Aksel Hennie,11.0
402,Akshay Kumar,11.0
403,Al,10.0
404,Al Capone,11.0
405,Al Corley,9.0
406,Al Czervik,11.0
407,"Al Freeman, Jr.",11.0
408,Al Giordino,9.0
409,Al Gore,11.0
410,Al Greco,11.0
411,Al Jean,11.0
412,Al Munsinger,11.0
413,Al Pacino,23.0
414,Al Silliman Jr.,11.0
415,Al Simmons,11.0
416,Al Stephenson,11.0
417,Al Torres,9.0
418,Al Yackey,11.0
419,Al Zimmer,11.0
420,Alabama Whitman,9.0
421,Aladar (voice),11.0
422,"Aladdin ""Al"" (voice)",11.0
423,Aladeen / Efawadh,11.0
424,Alain Attal,10.0
425,Alain Chabat,9.0
426,Alain Charnier,11.0
427,Alain Depardieu,11.0
428,Alain Goldman,11.0
429,Alain Sarde,9.0
430,Alain Vannier,11.0
431,Alaistair Foley,11.0
432,Alan,11.0
433,Alan 'Hippy' Carnes,11.0
434,Alan Abernathy,11.0
435,Alan Alda,9.0
436,Alan Arkin,10.0
437,Alan B. Curtiss,9.0
438,Alan Barrows,11.0
439,Alan Bates,11.0
440,Alan Bradley / Tron,11.0
441,Alan Brown,9.0
442,Alan Cumming,11.0
443,Alan Dale,11.0
444,Alan Davenport (voice),11.0
445,Alan Denado,11.0
446,Alan Ford,11.0
447,Alan Garner,10.0
448,Alan Glazer,11.0
449,Alan Greenspan,11.0
450,Alan Greisman,9.0
451,Alan J. Pakula,10.0
452,Alan Jay Lerner,11.0
453,Alan Johnson,10.0
454,Alan Jordan,9.0
455,Alan Krumwiede,11.0
456,"Alan Ladd, Jr.",11.0
457,Alan MacDonald,11.0
458,Alan Marshall,9.0
459,Alan Moloney,9.0
460,Alan Parker,10.0
461,Alan Polsky,9.0
462,Alan Poul,11.0
463,Alan Riche,10.0
464,Alan Rickman,10.0
465,Alan Ritchson,11.0
466,Alan Russell,11.0
467,Alan Shapiro,9.0
468,Alan Shepard,9.0
469,Alan Siegel,10.0
470,Alan Smithee,9.0
471,Alan Taylor,10.0
472,Alan Tracy,9.0
473,Alan Troy,11.0
474,Alan Tudyk,10.0
475,Alan Turing,11.0
476,Alan Zweibel,11.0
477,Alana Blanchard,11.0
478,Alba,11.0
479,Albert,9.0
480,Albert Berger,9.0
481,Albert Brennaman,11.0
482,Albert Brooks,9.0
483,Albert Daniels,11.0
484,Albert Finney,10.0
485,Albert Gibson,11.0
486,Albert Graves,11.0
487,Albert Hall,11.0
488,Albert Hughes,10.0
489,Albert Klychak,11.0
490,Albert Laurent,11.0
491,Albert Lewis,9.0
492,Albert Magnoli,11.0
493,Albert Milo,11.0
494,Albert Narracott,11.0
495,Albert Nobbs,9.0
496,Albert R. Broccoli,10.0
497,Albert S. Ruddy,10.0
498,Alberto Beddini,11.0
499,Alberto Grimaldi,10.0
500,Alberto Marini,11.0
501,Albie Hecht,10.0
502,Albin Grau,11.0
503,Albright,11.0
504,Albus Dumbledore,10.0
505,Alby,11.0
506,Alcee,11.0
507,Alchemy,11.0
508,Alcoholic Union Captain,11.0
509,Alcon Entertainment,18.0
510,Alden Ehrenreich,11.0
511,Alden Pyle,9.0
512,Alderson,11.0
513,Aldis Hodge,11.0
514,Aldo,11.0
515,Aldo Giuffrè,11.0
516,Aldous Snow,10.0
517,Aldrich Killian / The Mandarin,11.0
518,Alec Baldwin,23.0
519,Alec Berg,9.0
520,Alec Guinness,9.0
521,Alec Hewett,11.0
522,Alec Lightwood,11.0
523,Alec Mapa,9.0
524,Alec McCowen,11.0
525,Alec Newman,11.0
526,Alec Ramsey,11.0
527,Alec Trevelyan,11.0
528,Alec Wilson,11.0
529,Alec's Father,11.0
530,Alec's Mother,11.0
531,Aleen Keshishian,9.0
532,Aleisha Allen,11.0
533,Alejandro,10.0
534,Alejandro Agresti,11.0
535,Alejandro Amenábar,10.0
536,Alejandro González Iñárritu,10.0
537,Alejandro Monteverde,9.0
538,Alejandro Murrieta / Zorro,11.0
539,Aleksandar,9.0
540,Aleksandr Bashirov,9.0
541,Aleksandr Chutko,9.0
542,Aleksandr Ilin,9.0
543,Aleksey German,9.0
544,Aleksia Landeau,9.0
